         53412031 function calls (52113818 primitive calls) in 434.365 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.171    0.171 mathtext.py:1(<module>)
     6560    0.071    0.000    0.170    0.000 cea.py:17(__exit__)
      183    0.002    0.000    0.170    0.001 sre_compile.py:598(_code)
    13964    0.166    0.000    0.166    0.000 combustion.py:49(computeDerivatives)
      704    0.038    0.000    0.160    0.000 inspect.py:2138(_signature_from_function)
    39360    0.160    0.000    0.160    0.000 units.py:201(dval_to_uval)
        2    0.001    0.000    0.159    0.080 core.py:1(<module>)
  618/614    0.010    0.000    0.158    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
    53439    0.157    0.000    0.157    0.000 ambiance.py:270(h)
     3750    0.023    0.000    0.154    0.000 encoder.py:277(_iterencode_list)
    13964    0.150    0.000    0.150    0.000 tank.py:116(computeDerivatives)
        1    0.000    0.000    0.145    0.145 axes3d.py:1(<module>)
        1    0.000    0.000    0.143    0.143 core.py:164(load_base_library)
        1    0.001    0.001    0.143    0.143 core.py:196(read_style_directory)
     4796    0.046    0.000    0.141    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
     1203    0.041    0.000    0.139    0.000 {built-in method builtins.any}
     1241    0.009    0.000    0.137    0.000 __init__.py:655(__setitem__)
    47164    0.137    0.000    0.137    0.000 {method 'rstrip' of 'bytes' objects}
       26    0.000    0.000    0.137    0.005 __init__.py:859(rc_params_from_file)
  997/183    0.047    0.000    0.136    0.001 sre_compile.py:71(_compile)
    17814    0.135    0.000    0.135    0.000 {built-in method _hashlib.openssl_md5}
    42282    0.129    0.000    0.129    0.000 {built-in method builtins.hasattr}
       70    0.006    0.000    0.129    0.002 __init__.py:1364(_preprocess_data)
    17814    0.127    0.000    0.127    0.000 rellipsoid.py:196(_q)
        1    0.000    0.000    0.124    0.124 mathtext.py:2275(Parser)
        1    0.000    0.000    0.124    0.124 mathtext.py:2845(<lambda>)
        1    0.002    0.002    0.124    0.124 mathtext.py:2845(<listcomp>)
        1    0.000    0.000    0.124    0.124 _shgo.py:1(<module>)
       10    0.001    0.000    0.117    0.012 ode.py:19(makeODE)
        1    0.000    0.000    0.117    0.117 lines.py:1(<module>)
    37209    0.112    0.000    0.112    0.000 {method 'split' of 'bytes' objects}
    19680    0.086    0.000    0.108    0.000 blends.py:585(renamePropIfNewHfOrTrefInName)
       70    0.001    0.000    0.107    0.002 models.py:4(initializeModel)
       10    0.000    0.000    0.104    0.010 tank.py:100(initializeState)
    35570    0.102    0.000    0.103    0.000 {built-in method posix.fspath}
    17813    0.102    0.000    0.102    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
     1212    0.051    0.000    0.100    0.000 functools.py:35(update_wrapper)
     6591    0.057    0.000    0.100    0.000 _bootlocale.py:33(getpreferredencoding)
     6560    0.099    0.000    0.099    0.000 {method 'close' of '_io.TextIOWrapper' objects}
    33691    0.099    0.000    0.099    0.000 {method 'endswith' of 'str' objects}
      618    0.022    0.000    0.098    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      316    0.005    0.000    0.097    0.000 overrides.py:166(decorator)
       10    0.000    0.000    0.096    0.010 tank.py:15(init)
        1    0.000    0.000    0.096    0.096 pyparsing.py:6398(pyparsing_common)
    31468    0.095    0.000    0.095    0.000 {method 'startswith' of 'bytes' objects}
     2049    0.022    0.000    0.095    0.000 <__array_function__ internals>:2(searchsorted)
        1    0.000    0.000    0.093    0.093 patches.py:1(<module>)
    32091    0.092    0.000    0.092    0.000 {method 'lstrip' of 'str' objects}
     2059    0.021    0.000    0.092    0.000 <__array_function__ internals>:2(nonzero)
    10760    0.060    0.000    0.090    0.000 mathtext.py:2847(<genexpr>)
       81    0.001    0.000    0.089    0.001 docstring.py:77(dedent_interpd)
     4852    0.047    0.000    0.088    0.000 fromnumeric.py:52(_wrapfunc)
      656    0.006    0.000    0.086    0.000 base.py:192(dense_output)
        1    0.000    0.000    0.086    0.086 _base.py:1(<module>)
    26340    0.085    0.000    0.085    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.085    0.085 _internal.py:1(<module>)
        1    0.000    0.000    0.084    0.084 artist.py:1(<module>)
        4    0.000    0.000    0.084    0.021 font_manager.py:307(findSystemFonts)
        1    0.000    0.000    0.084    0.084 cm.py:1(<module>)
    18893    0.082    0.000    0.082    0.000 {built-in method builtins.max}
       36    0.001    0.000    0.082    0.002 __init__.py:1329(_add_data_doc)
     1020    0.022    0.000    0.082    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
    24726    0.078    0.000    0.081    0.000 {built-in method builtins.getattr}
      656    0.019    0.000    0.081    0.000 lsoda.py:163(_dense_output_impl)
     4796    0.049    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      700    0.006    0.000    0.077    0.000 colors.py:161(to_rgba)
        1    0.000    0.000    0.077    0.077 multiarray.py:1(<module>)
      581    0.011    0.000    0.076    0.000 pathlib.py:671(_parse_args)
    24410    0.074    0.000    0.074    0.000 {built-in method builtins.min}
       27    0.001    0.000    0.072    0.003 pyparsing.py:3294(__init__)
      469    0.005    0.000    0.071    0.000 pathlib.py:1068(__new__)
        1    0.000    0.000    0.071    0.071 overrides.py:1(<module>)
        1    0.000    0.000    0.069    0.069 axis.py:1(<module>)
        1    0.000    0.000    0.069    0.069 lgmres.py:4(<module>)
        1    0.000    0.000    0.069    0.069 _minimize.py:1(<module>)
      485    0.008    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:585(_compile_bytecode)
        1    0.001    0.001    0.069    0.069 cm.py:53(_gen_cmap_registry)
        1    0.000    0.000    0.067    0.067 platform.py:3(<module>)
     2332    0.031    0.000    0.066    0.000 inspect.py:2503(__init__)
     6717    0.042    0.000    0.065    0.000 sre_parse.py:164(__getitem__)
      469    0.005    0.000    0.065    0.000 pathlib.py:691(_from_parts)
        1    0.000    0.000    0.065    0.065 rotation.py:1(<module>)
      428    0.007    0.000    0.064    0.000 rcsetup.py:360(validate_color)
    20364    0.064    0.000    0.064    0.000 {built-in method __new__ of type object at 0x7f2e9986f980}
        1    0.000    0.000    0.063    0.063 _rotation_groups.py:1(<module>)
    17813    0.063    0.000    0.063    0.000 ambiance.py:275(h)
       32    0.005    0.000    0.062    0.002 colors.py:776(from_list)
    17864    0.061    0.000    0.061    0.000 {method 'encode' of 'str' objects}
    13964    0.060    0.000    0.060    0.000 flight.py:41(computeDerivatives)
      584    0.027    0.000    0.058    0.000 pathlib.py:63(parse_parts)
    16532    0.058    0.000    0.058    0.000 afm.py:48(_to_int)
    17813    0.057    0.000    0.057    0.000 injector.py:12(derivedVariablesDependsOn)
    17813    0.057    0.000    0.057    0.000 passiveVent.py:12(derivedVariablesDependsOn)
       17    0.001    0.000    0.057    0.003 rcsetup.py:928(validate_cycler)
    17813    0.057    0.000    0.057    0.000 combustion.py:12(derivedVariablesDependsOn)
      138    0.002    0.000    0.057    0.000 rcsetup.py:87(f)
    17868    0.057    0.000    0.057    0.000 {built-in method _operator.index}
    17813    0.056    0.000    0.056    0.000 flight.py:13(derivedVariablesDependsOn)
    17854    0.056    0.000    0.056    0.000 {method 'keys' of 'dict' objects}
        3    0.000    0.000    0.056    0.019 base.py:1(<module>)
    17813    0.056    0.000    0.056    0.000 nozzle.py:13(derivedVariablesDependsOn)
      485    0.056    0.000    0.056    0.000 {built-in method marshal.loads}
     1124    0.006    0.000    0.055    0.000 <frozen importlib._bootstrap>:385(cached)
      370    0.011    0.000    0.055    0.000 colors.py:197(_to_rgba_no_colorcycle)
        1    0.000    0.000    0.055    0.055 sputils.py:1(<module>)
        1    0.000    0.000    0.054    0.054 cea.py:1(<module>)
        2    0.000    0.000    0.054    0.027 _util.py:1(<module>)
    17813    0.054    0.000    0.054    0.000 tank.py:44(derivedVariablesDependsOn)
    17823    0.054    0.000    0.054    0.000 zeros.py:70(results_c)
     2049    0.015    0.000    0.053    0.000 fromnumeric.py:1276(searchsorted)
     2059    0.018    0.000    0.053    0.000 ode.py:50(no_oxidizer_mass)
        1    0.000    0.000    0.053    0.053 codata.py:7(<module>)
    17813    0.053    0.000    0.053    0.000 environment.py:10(derivedVariablesDependsOn)
       60    0.020    0.000    0.053    0.001 afm.py:88(_parse_header)
      426    0.004    0.000    0.052    0.000 colors.py:129(is_color_like)
        7    0.000    0.000    0.052    0.007 enum.py:445(_convert_)
   104/89    0.001    0.000    0.052    0.001 <frozen importlib._bootstrap_external>:1114(exec_module)
     2720    0.017    0.000    0.052    0.000 enum.py:289(__call__)
        1    0.000    0.000    0.051    0.051 __init__.py:15(<module>)
     2059    0.014    0.000    0.051    0.000 fromnumeric.py:1816(nonzero)
   104/89    0.007    0.000    0.050    0.001 {built-in method _imp.exec_dynamic}
      614    0.006    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
      105    0.003    0.000    0.049    0.000 font_manager.py:940(default)
     2059    0.016    0.000    0.049    0.000 ode.py:55(no_fuel_mass)
        1    0.000    0.000    0.049    0.049 py3k.py:1(<module>)
